epoch,train_loss,train_acc
0,0.046340720902662724,0.65234375
1,0.034269464667886496,0.73046875
2,0.028114985121646896,0.80859375
3,0.026926019869279116,0.814453125
4,0.021658741228748113,0.859375
5,0.020996731851482764,0.875
6,0.020598422022885643,0.869140625
7,0.019818225926428568,0.869140625
8,0.01897904818179086,0.890625
9,0.01825614253175445,0.8828125
10,0.016502962476806715,0.8984375
11,0.015716497451649047,0.908203125
12,0.014767705797567032,0.9296875
13,0.015153975204157177,0.91015625
14,0.014080422231927514,0.9375
15,0.013212807614763733,0.93359375
