epoch,train_loss,train_acc
0,0.057595421456628375,0.5416666666666666
1,0.0426391855020214,0.6759259259259259
2,0.035532801791473674,0.7384259259259259
3,0.030305102433043497,0.7847222222222222
4,0.03190255489338328,0.7638888888888888
5,0.02677178676067679,0.8194444444444444
6,0.027825027566265176,0.8055555555555556
7,0.025711640405158203,0.8287037037037037
8,0.02449360141461646,0.8217592592592593
9,0.02405431266460154,0.8425925925925926
10,0.02322512240735469,0.8379629629629629
11,0.021997547260037175,0.8425925925925926
12,0.02010064830796586,0.8703703703703703
13,0.02016022877284774,0.8587962962962963
14,0.01766821907626258,0.8842592592592593
15,0.017513843115281175,0.8842592592592593
